,vehicle_type,dist_seq,distribute_lea_tm,distribute_arr_tm,distance,trans_cost,charge_cost,wait_cost,fixed_use_cost,total_cost,charge_cnt
0,1,0;11104;10659;11273;11043;10347;11319;11386;11378;0,8:56,15:6,66093,793.116,0,18.8,200,1034.316,0
1,1,0;11243;10975;11123;10846;10171;11432;11347;11480;0,8:6,16:3,78593,943.116,0,46.800000000000004,200,1192.3160000000003,0
2,1,0;10710;10068;10385;10403;11081;11426;11404;11398;0,8:27,15:50,69320,831.84,0,41.2,200,1083.8400000000001,0
3,1,0;10147;10107;10424;10639;10323;10384;0,8:2,12:57,65963,791.556,0,0.0,200,991.556,0
4,1,0;10857;10129;11100;10515;10191;0,8:3,11:42,46435,557.22,0,0.0,200,757.22,0
5,1,0;10451;10215;10606;10614;0,9:28,12:34,38091,457.092,0,0.0,200,669.492,0
6,1,0;10185;11194;10842;10051;10591;10142;0,8:9,12:56,48839,586.068,0,5.2,200,794.868,0
7,1,0;11098;10459;11050;10953;10450;0,8:0,12:6,39813,477.75600000000003,0,9.600000000000001,200,687.356,0
8,1,0;10749;11007;10298;11092;10121;10546;0,8:6,12:34,49251,591.0120000000001,0,0.0,200,791.012,0
9,1,0;10921;10491;11047;10119;0,9:8,12:12,35168,422.016,0,0.0,200,626.816,0
10,1,0;10702;10208;10434;10838;11262;10289;0,8:33,12:49,54949,659.388,0,0.0,200,871.788,0
11,1,0;10729;10256;10490;10934;10135;11320;0,8:2,14:2,67823,813.876,0,30.400000000000002,200,1045.076,0
12,1,0;10989;10745;10072;11160;0,8:34,11:40,41329,495.94800000000004,0,0.0,200,707.548,0
13,1,0;10096;11155;11248;10819;0,9:55,12:53,32493,389.916,0,0.0,200,612.716,0
14,1,0;10158;10206;11163;10974;10870;10668;0,8:2,12:52,60048,720.576,0,0.0,200,920.576,0
15,1,0;10888;10093;10815;10231;0,8:53,11:59,31996,383.952,0,0.0,200,593.952,0
16,1,0;10124;10713;10635;10365;11182;10748;0,8:1,12:36,69060,828.72,0,0.0,200,1028.72,0
17,1,0;10542;10283;10589;10100;0,8:23,11:37,43057,516.684,0,0.0,200,722.284,0
18,1,0;10228;11089;11210;10569;10120;10697;0,8:8,12:33,65137,781.644,0,0.0,200,981.644,0
19,1,0;10443;10744;10718;11226;0,8:29,11:32,35374,424.488,0,0.0,200,624.488,0
20,1,0;11111;10899;10361;10311;0,8:39,12:9,34892,418.704,0,11.200000000000001,200,637.104,0
21,1,0;10763;11054;11225;10813;10243;0,8:34,12:22,47962,575.544,0,0.0,200,783.544,0
22,1,0;10792;11141;10242;10495;0,9:8,12:23,38928,467.136,0,0.0,200,688.7360000000001,0
23,1,0;10144;10165;11196;10337;0,8:32,11:29,32559,390.708,0,0.0,200,601.908,0
24,1,0;10969;10181;10074;10751;11452;0,8:0,14:7,39821,477.85200000000003,0,61.6,200,739.452,0
25,1,0;10690;10396;11257;10566;0,9:45,12:51,37950,455.40000000000003,0,0.0,200,678.2,0
